id,X,Y,NN
674,30.5016019,-1.8019099,155
675,30.5009586,-1.8019418,165
676,30.5010362,-1.8019875,152
677,30.5021996,-1.8109372,154
678,30.5139895,-1.8088174,161
679,29.7427147,-2.6163895,162
680,29.740887,-2.6053502,171
681,29.7416844,-2.6024858,170
682,29.7165707,-2.5938838,173
683,29.7205192,-2.5976675,180
684,29.7169924,-2.5932347,185
685,29.7447644,-2.6159706,176
686,29.74712,-2.5898285,169
687,29.7460712,-2.5886452,171
688,29.7439209,-2.6056259,179
689,29.7457269,-2.6064533,165
690,29.7452613,-2.6067295,176
691,29.7509402,-2.5921367,159
692,29.7460841,-2.5979297,171
693,29.7571836,-2.5887841,166
694,29.7557526,-2.5905149,159
695,29.7570414,-2.5913375,162
696,29.7551857,-2.5923972,162
697,29.7501445,-2.5924975,169
698,29.7562467,-2.5926542,164
699,29.7556112,-2.5942697,175
700,29.7555053,-2.5948458,177
701,29.7515879,-2.5969035,166
702,29.7458741,-2.5979261,182
703,30.7069232,-1.683879,138
704,30.7210128,-1.8497903,154
705,30.5462864,-1.4464474,135
706,30.6461362,-1.6020399,165
707,30.7450608,-1.8717719,124
708,30.2171718,-2.3522,140
709,28.9004717,-2.4702116,162
710,28.9130378,-2.4812124,156
711,30.0644854,-1.9559172,146
712,30.0609244,-1.9542929,161
713,29.7930408,-1.6479437,161
714,30.0609151,-1.9461606,157
715,30.0600496,-1.9483447,158
716,30.0608444,-1.9453408,148
717,30.5576946,-2.1372392,167
718,30.2742498,-1.8969666,139
719,29.7942894,-1.7344227,193
720,29.7945584,-1.7343591,206
721,29.7918438,-1.7377233,198
722,29.2248183,-1.6620568,160
723,29.2274244,-1.6637689,157
724,29.2443314,-1.6814867,156
725,29.2418442,-1.675543,152
726,29.2431262,-1.6941392,147
727,29.2431181,-1.6941879,147
728,29.2430891,-1.6941891,149
729,29.2311079,-1.687465,140
730,29.2435769,-1.6669356,149
731,30.094745,-1.9266583,141
732,29.2422732,-1.6602273,164
733,29.2419802,-1.6580933,165
734,29.24202,-1.6581144,165
735,29.2242102,-1.6634824,158
736,29.26321,-1.6765227,157
737,29.2465551,-1.6761213,150
738,29.2463402,-1.6815092,151
739,29.2475699,-1.6816467,156
740,29.2571981,-1.6981632,155
741,29.2566892,-1.6984843,147
742,29.2688246,-1.6996828,170
743,29.254098,-1.676297,152
744,29.253427,-1.6766965,161
745,29.232698,-1.6731457,144
746,29.3433408,-2.0520479,145
747,29.0433573,-2.7317857,93
748,30.0745218,-1.9138618,146
749,30.0720722,-1.9175335,147
750,30.0720782,-1.9175408,139
751,30.0720635,-1.9175428,148
752,29.4871846,-1.4740272,326
753,29.6328752,-1.4998221,188
754,29.7417198,-1.4461818,194
755,29.7411767,-1.4469273,193
756,29.7419935,-1.4480272,198
757,29.7428043,-1.4490946,201
758,29.49982,-1.4687647,300
759,29.4998141,-1.4687695,297
760,29.4846155,-1.4732672,327
761,30.0597356,-1.9312244,145
762,30.0597091,-1.9313755,150
763,30.0606768,-1.9316828,142
764,30.1737859,-1.9757339,143
765,30.0537032,-1.9467185,147
766,29.2165349,-1.675997,152
767,29.232379,-1.6577005,149
768,29.2306355,-1.6578215,159
769,29.2333938,-1.6564739,153
770,29.2307717,-1.6509552,160
771,29.314801,-1.7027078,169
772,30.0908361,-1.9442818,154
773,29.2333796,-1.6499444,164
774,29.2465411,-1.6557108,155
775,29.2434167,-1.6557342,161
776,29.2354877,-1.6879924,144
777,29.2352544,-1.6881157,145
778,29.2403615,-1.6905936,150
779,29.2407051,-1.6978253,158
780,29.2348507,-1.6889232,148
781,29.237788,-1.6883489,155
782,28.856653,-2.4898565,145
783,30.0964279,-1.9253431,151
784,30.0912964,-1.9498604,135
